Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,7.570964336395264,1500
1996-01-03,10.666666030883789,10.666666030883789,10.466666221618652,10.466666221618652,7.475729465484619,3000
1996-01-04,10.466666221618652,10.466666221618652,10.466666221618652,10.466666221618652,7.475729465484619,0
1996-01-05,10.666666030883789,10.666666030883789,10.466666221618652,10.473333358764648,7.48049259185791,6000
1996-01-08,10.333333015441895,10.533332824707031,10.333333015441895,10.533332824707031,7.52334451675415,3000
1996-01-09,10.533332824707031,10.533332824707031,10.533332824707031,10.533332824707031,7.52334451675415,0
1996-01-10,10.066665649414062,10.066665649414062,10.066665649414062,10.066665649414062,7.190032958984375,1500
1996-01-11,10.066665649414062,10.066665649414062,10.066665649414062,10.066665649414062,7.190032958984375,0
1996-01-12,10.066665649414062,10.066665649414062,10.066665649414062,10.066665649414062,7.190032958984375,0
1996-01-15,10.066665649414062,10.066665649414062,10.066665649414062,10.066665649414062,7.190032958984375,0
1996-01-16,10.066665649414062,10.066665649414062,9.666666030883789,9.666666030883789,6.9043378829956055,3000
1996-01-17,9.666666030883789,9.666666030883789,9.666666030883789,9.666666030883789,6.9043378829956055,0
1996-01-18,9.666666030883789,9.666666030883789,9.466666221618652,9.466666221618652,6.761486530303955,3000
1996-01-19,9.866665840148926,9.866665840148926,9.866665840148926,9.866665840148926,7.047184467315674,1500
1996-01-22,9.866665840148926,9.866665840148926,9.866665840148926,9.866665840148926,7.047184467315674,0
1996-01-23,9.833333015441895,9.883333206176758,9.600000381469727,9.866665840148926,7.047184467315674,15000
1996-01-24,9.866665840148926,9.866665840148926,9.866665840148926,9.866665840148926,7.047184467315674,6000
1996-01-25,10.0,10.0,10.0,10.0,7.142416477203369,1500
1996-01-26,10.0,10.0,10.0,10.0,7.142416477203369,0
1996-01-29,9.666666030883789,9.666666030883789,9.666666030883789,9.666666030883789,6.9043378829956055,1500
1996-01-30,9.866665840148926,9.899999618530273,9.666666030883789,9.666666030883789,6.9043378829956055,12000
1996-01-31,9.833333015441895,9.833333015441895,9.833333015441895,9.833333015441895,7.023378372192383,1500
1996-02-01,10.133333206176758,10.466666221618652,10.133333206176758,10.466666221618652,7.475729465484619,6000
1996-02-02,11.466666221618652,11.466666221618652,11.466666221618652,11.466666221618652,8.189970970153809,1500
1996-02-05,11.466666221618652,11.800000190734863,11.466666221618652,11.716666221618652,8.368532180786133,10500
1996-02-06,11.716666221618652,12.333333015441895,11.670000076293945,11.800000190734863,8.42805290222168,19500
1996-02-07,11.533332824707031,11.533332824707031,11.533332824707031,11.533332824707031,8.237587928771973,1500
1996-02-08,11.533332824707031,11.666666030883789,11.533332824707031,11.59333324432373,8.280441284179688,24000
1996-02-09,12.0,12.733332633972168,12.0,12.666666030883789,9.047062873840332,19500
1996-02-12,13.333333015441895,13.333333015441895,13.0,13.0,9.285143852233887,6000
1996-02-13,13.0,13.0,12.666666030883789,12.666666030883789,9.047062873840332,10500
1996-02-14,13.666666030883789,13.666666030883789,13.100000381469727,13.100000381469727,9.356568336486816,21000
1996-02-15,13.066665649414062,13.066665649414062,13.066665649414062,13.066665649414062,9.332758903503418,1500
1996-02-16,13.0,13.0,12.666666030883789,12.699999809265137,9.070873260498047,12000
1996-02-19,12.666666030883789,12.666666030883789,12.666666030883789,12.666666030883789,9.047062873840332,19500
1996-02-20,12.666666030883789,12.800000190734863,12.800000190734863,12.800000190734863,9.142295837402344,7500
1996-02-21,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,9.142295837402344,0
1996-02-22,13.666666030883789,13.666666030883789,12.666666030883789,12.866665840148926,9.189909934997559,9000
1996-02-23,12.866665840148926,13.133333206176758,12.800000190734863,12.926666259765625,9.232765197753906,10500
1996-02-26,12.866665840148926,13.183333396911621,12.866665840148926,12.903332710266113,9.216097831726074,37500
1996-02-27,13.133333206176758,13.333333015441895,13.0,13.333333015441895,9.523223876953125,36000
1996-02-28,13.666666030883789,13.666666030883789,13.399999618530273,13.533332824707031,9.666072845458984,12000
1996-02-29,13.069999694824219,13.069999694824219,13.066665649414062,13.066665649414062,9.332758903503418,9000
1996-03-01,13.199999809265137,13.466666221618652,13.199999809265137,13.333333015441895,9.523223876953125,19500
1996-03-04,13.333333015441895,13.0,12.699999809265137,12.9399995803833,9.242291450500488,12000
1996-03-05,12.9399995803833,12.9399995803833,12.9399995803833,12.9399995803833,9.242291450500488,0
1996-03-06,12.9399995803833,13.666666030883789,13.133333206176758,13.666666030883789,9.76130485534668,37500
1996-03-07,13.666666030883789,13.866665840148926,13.666666030883789,13.866665840148926,9.904151916503906,15000
1996-03-08,13.866665840148926,13.916666030883789,13.633333206176758,13.636666297912598,9.73987865447998,12000
1996-03-11,13.636666297912598,13.666666030883789,13.543333053588867,13.633333206176758,9.737496376037598,12000
1996-03-12,13.633333206176758,13.603333473205566,13.333333015441895,13.59666633605957,9.711308479309082,16500
1996-03-13,13.59666633605957,13.600000381469727,13.600000381469727,13.600000381469727,9.713687896728516,1500
1996-03-14,13.600000381469727,13.666666030883789,13.466666221618652,13.466666221618652,9.618453025817871,15000
1996-03-15,13.533332824707031,13.533332824707031,13.470000267028809,13.470000267028809,9.620837211608887,4500
1996-03-18,13.333333015441895,13.333333015441895,13.156665802001953,13.156665802001953,9.397039413452148,18000
1996-03-19,13.156665802001953,13.266666412353516,13.0,13.266666412353516,9.475608825683594,16500
1996-03-20,13.266666412353516,13.266666412353516,13.266666412353516,13.266666412353516,9.475608825683594,0
1996-03-21,13.266666412353516,13.399999618530273,13.266666412353516,13.399999618530273,9.570840835571289,3000
1996-03-22,13.399999618530273,13.399999618530273,13.0,13.399999618530273,9.570840835571289,16500
1996-03-25,13.399999618530273,13.533332824707031,13.336666107177734,13.336666107177734,9.525603294372559,9000
1996-03-26,13.336666107177734,13.203332901000977,13.203332901000977,13.203332901000977,9.430371284484863,9000
1996-03-27,13.203332901000977,13.333333015441895,13.19666576385498,13.333333015441895,9.523223876953125,9000
1996-03-28,13.333333015441895,13.396665573120117,13.396665573120117,13.396665573120117,9.568459510803223,3000
